name,codigo,region
Iquique,1101,Tarapacá
Alto Hospicio,1107,Tarapacá
Pozo Almonte,1401,Tarapacá
Camiña,1402,Tarapacá
Colchane,1403,Tarapacá
Huara,1404,Tarapacá
Pica,1405,Tarapacá
Antofagasta,2101,Antofagasta
Mejillones,2102,Antofagasta
Sierra Gorda,2103,Antofagasta
Taltal,2104,Antofagasta
Calama,2201,Antofagasta
Ollagüe,2202,Antofagasta
San Pedro de Atacama,2203,Antofagasta
Tocopilla,2301,Antofagasta
María Elena,2302,Antofagasta
Copiapó,3101,Atacama
Caldera,3102,Atacama
Tierra Amarilla,3103,Atacama
Chañaral,3201,Atacama
Diego de Almagro,3202,Atacama
Vallenar,3301,Atacama
Alto del Carmen,3302,Atacama
Freirina,3303,Atacama
Huasco,3304,Atacama
La Serena,4101,Coquimbo
Coquimbo,4102,Coquimbo
Andacollo,4103,Coquimbo
La Higuera,4104,Coquimbo
Paihuano,4105,Coquimbo
Vicuña,4106,Coquimbo
Illapel,4201,Coquimbo
Canela,4202,Coquimbo
Los Vilos,4203,Coquimbo
Salamanca,4204,Coquimbo
Ovalle,4301,Coquimbo
Combarbalá,4302,Coquimbo
Monte Patria,4303,Coquimbo
Punitaqui,4304,Coquimbo
Río Hurtado,4305,Coquimbo
Valparaíso,5101,Valparaíso
Casablanca,5102,Valparaíso
Concón,5103,Valparaíso
Juan Fernández,5104,Valparaíso
Puchuncaví,5105,Valparaíso
Quintero,5107,Valparaíso
Viña del Mar,5109,Valparaíso
Isla de Pascua,5201,Valparaíso
Los Andes,5301,Valparaíso
Calle Larga,5302,Valparaíso
Rinconada,5303,Valparaíso
San Esteban,5304,Valparaíso
La Ligua,5401,Valparaíso
Cabildo,5402,Valparaíso
Papudo,5403,Valparaíso
Petorca,5404,Valparaíso
Zapallar,5405,Valparaíso
Quillota,5501,Valparaíso
La Calera,5502,Valparaíso
Hijuelas,5503,Valparaíso
La Cruz,5504,Valparaíso
Nogales,5506,Valparaíso
San Antonio,5601,Valparaíso
Algarrobo,5602,Valparaíso
Cartagena,5603,Valparaíso
El Quisco,5604,Valparaíso
El Tabo,5605,Valparaíso
Santo Domingo,5606,Valparaíso
San Felipe,5701,Valparaíso
Catemu,5702,Valparaíso
Llay Llay,5703,Valparaíso
Panquehue,5704,Valparaíso
Putaendo,5705,Valparaíso
Santa María,5706,Valparaíso
Quilpué,5801,Valparaíso
Limache,5802,Valparaíso
Olmué,5803,Valparaíso
Villa Alemana,5804,Valparaíso
Rancagua,6101,del Libertador Gral. Bernardo O'Higgins
Codegua,6102,del Libertador Gral. Bernardo O'Higgins
Coinco,6103,del Libertador Gral. Bernardo O'Higgins
Coltauco,6104,del Libertador Gral. Bernardo O'Higgins
Doñihue,6105,del Libertador Gral. Bernardo O'Higgins
Graneros,6106,del Libertador Gral. Bernardo O'Higgins
Las Cabras,6107,del Libertador Gral. Bernardo O'Higgins
Machalí,6108,del Libertador Gral. Bernardo O'Higgins
Malloa,6109,del Libertador Gral. Bernardo O'Higgins
Mostazal,6110,del Libertador Gral. Bernardo O'Higgins
Olivar,6111,del Libertador Gral. Bernardo O'Higgins
Peumo,6112,del Libertador Gral. Bernardo O'Higgins
Pichidegua,6113,del Libertador Gral. Bernardo O'Higgins
Quinta de Tilcoco,6114,del Libertador Gral. Bernardo O'Higgins
Rengo,6115,del Libertador Gral. Bernardo O'Higgins
Requínoa,6116,del Libertador Gral. Bernardo O'Higgins
San Vicente,6117,del Libertador Gral. Bernardo O'Higgins
Pichilemu,6201,del Libertador Gral. Bernardo O'Higgins
La Estrella,6202,del Libertador Gral. Bernardo O'Higgins
Litueche,6203,del Libertador Gral. Bernardo O'Higgins
Marchihue,6204,del Libertador Gral. Bernardo O'Higgins
Navidad,6205,del Libertador Gral. Bernardo O'Higgins
Paredones,6206,del Libertador Gral. Bernardo O'Higgins
San Fernando,6301,del Libertador Gral. Bernardo O'Higgins
Chépica,6302,del Libertador Gral. Bernardo O'Higgins
Chimbarongo,6303,del Libertador Gral. Bernardo O'Higgins
Lolol,6304,del Libertador Gral. Bernardo O'Higgins
Nancagua,6305,del Libertador Gral. Bernardo O'Higgins
Palmilla,6306,del Libertador Gral. Bernardo O'Higgins
Peralillo,6307,del Libertador Gral. Bernardo O'Higgins
